	Regulon	Size	NES	p.value	FDR	Ledge
FARSA	FARSA	164	-1.44	0.149	0.381	ZADH2, TMSL3, EEF1B2, MAD2L1, + 131 genes
CXXC1	CXXC1	45	-1.47	0.141	0.364	SNRPA, CDC37, RECQL4, MAGT1, + 29 genes
KIAA2018	KIAA2018	198	-1.47	0.141	0.364	SFTA1P, PIK3CA, KIDINS220, PSMC3IP, + 133 genes
ZNF623	ZNF623	77	-1.47	0.141	0.364	HPRT1, SETD5, MRPL16, STK39, + 61 genes
ZNF667	ZNF667	109	-1.47	0.141	0.364	BEND3, ZNF606, ZNF419, ADAM32, + 84 genes
ZC3HAV1	ZC3HAV1	72	-1.48	0.14	0.364	TAF1D, GPR176, ABCA1, ZGLP1, + 50 genes
ZNF350	ZNF350	33	-1.48	0.138	0.36	BCDIN3D, SETD6, L1TD1, ZNF564, + 21 genes
HIF3A	HIF3A	26	-1.5	0.133	0.349	ATP6V1A, ANXA7, IQCC, GTF3C1, + 14 genes
ZNF251	ZNF251	85	-1.5	0.133	0.349	WDR61, ZNF26, LCORL, FLJ42627, + 57 genes
HELZ	HELZ	77	-1.51	0.132	0.349	TAF1, UBXN2B, PIK3C2A, TNKS2, + 63 genes
TTF1	TTF1	144	-1.51	0.13	0.347	STXBP1, MCART1, PRIM2, RC3H2, + 89 genes
ZFP37	ZFP37	136	-1.52	0.129	0.346	NAA11, LOC728640, TNKS, RASSF1, + 112 genes
ZFP82	ZFP82	39	-1.53	0.126	0.339	DHX9, C12orf66, ZNF431, LARP4, + 30 genes
ZNF418	ZNF418	129	-1.53	0.126	0.339	PPP4R1L, TNKS, RAD54B, DDX17, + 108 genes
SSRP1	SSRP1	169	-1.53	0.125	0.338	PDIA6, LOC100128288, RAB5C, STAU1, + 108 genes
ZNF333	ZNF333	58	-1.53	0.125	0.338	NAPB, GCFC1, SNRNP48, C4orf3, + 35 genes
ZNF521	ZNF521	31	-1.55	0.122	0.332	PRLR, MGC45800, SOX5, EPHB1, + 18 genes
ZNF230	ZNF230	25	-1.55	0.121	0.331	LOC100270804, ZNF350, C1orf156, LOC400027, + 16 genes
ZNF716	ZNF716	54	-1.55	0.12	0.329	FAM127A, BOD1L, PPTC7, RNF160, + 40 genes
THAP4	THAP4	40	-1.56	0.119	0.327	FAM76B, LIG4, EEF1B2, C1QTNF3, + 28 genes
ZNF121	ZNF121	224	-1.56	0.119	0.327	SEC23B, EXOSC8, RBL1, RWDD4A, + 176 genes
ZNF560	ZNF560	119	-1.56	0.119	0.327	TMEM175, LOC100133893, MAPK1IP1L, TPX2, + 105 genes
SP1	SP1	37	-1.56	0.118	0.326	SCN8A, DCP1A, FAM176B, SBF2, + 21 genes
ZNF600	ZNF600	119	-1.56	0.118	0.326	TAF1C, JKAMP, RPL13AP3, PFDN6, + 92 genes
ZNF480	ZNF480	45	-1.57	0.116	0.322	KIF20A, STRBP, SOX15, RABGEF1, + 36 genes
DVL3	DVL3	39	-1.58	0.115	0.32	H2AFB1, ACER2, TCF7L2, ADNP2, + 31 genes
ZNF461	ZNF461	53	-1.58	0.115	0.32	LOC157381, ZNF527, RAD52, SIN3B, + 44 genes
ZNF660	ZNF660	65	-1.58	0.115	0.32	FAM196B, CREB1, GGTLC2, ZNF699, + 51 genes
FBXO41	FBXO41	36	-1.58	0.113	0.319	C20orf112, TMEM198, TRAK1, MFN1, + 23 genes
ZNF3	ZNF3	57	-1.58	0.113	0.319	CSNK2A1, RAB33A, TBC1D5, ACOT2, + 42 genes
ZNF749	ZNF749	121	-1.58	0.113	0.319	RAPSN, IGFBP7, SPNS3, ME3, + 98 genes
ASH1L	ASH1L	60	-1.59	0.112	0.319	ZFX, DCP1A, SERGEF, BAT2L2, + 41 genes
PPP2R3B	PPP2R3B	50	-1.6	0.11	0.315	C14orf179, PJA2, FSD1, TIMM44, + 34 genes
ZNF561	ZNF561	25	-1.6	0.11	0.315	MN1, ZNF816A, PDLIM4, STAG1, + 18 genes
PRMT3	PRMT3	25	-1.62	0.105	0.302	SEC63, LOC728640, VTA1, FAM133B, + 20 genes
WDHD1	WDHD1	55	-1.62	0.105	0.302	TMBIM4, UBFD1, ESD, MFSD5, + 43 genes
ZKSCAN4	ZKSCAN4	86	-1.64	0.102	0.295	SULT2B1, FAM195A, TMEM59L, LOC728323, + 63 genes
ZNF532	ZNF532	72	-1.64	0.102	0.295	BLVRB, XPNPEP1, GOLGA4, KCNQ1, + 52 genes
KNTC1	KNTC1	99	-1.64	0.101	0.294	ZNF268, CREB3, XPOT, NUP107, + 72 genes
NOC3L	NOC3L	122	-1.64	0.101	0.294	WDR4, TARDBP, NOLC1, ZNF551, + 85 genes
PLAG1	PLAG1	113	-1.64	0.1	0.292	SMURF2, C1orf21, C1R, LOC644538, + 90 genes
ZNF681	ZNF681	72	-1.65	0.098	0.287	SMNDC1, HMOX1, INF2, RC3H1, + 56 genes
RCOR3	RCOR3	50	-1.67	0.094	0.277	SIN3B, ADSS, MGEA5, EXOC8, + 40 genes
YBX1	YBX1	166	-1.68	0.093	0.276	SEC23A, PFDN6, FAM178A, AKAP11, + 127 genes
ZNF175	ZNF175	31	-1.68	0.093	0.276	ZNF562, NUFIP2, ZNF132, FKBP1A, + 20 genes
ZNF684	ZNF684	43	-1.68	0.093	0.276	SPAG6, YJEFN3, PRPF38B, NEB, + 29 genes
ARNT2	ARNT2	34	-1.68	0.092	0.275	KCNIP3, SLC25A4, ANK2, GNB5, + 25 genes
ZNF107	ZNF107	99	-1.68	0.092	0.275	CDC27, RNASE4, MEOX1, TNFAIP8L3, + 81 genes
ZNF615	ZNF615	75	-1.68	0.092	0.275	RAD52, L1TD1, TPRXL, ZNF419, + 58 genes
ZNF132	ZNF132	25	-1.69	0.091	0.274	ARMC6, ZNF416, ZFP37, DCAF12L2, + 16 genes
ZNF439	ZNF439	72	-1.7	0.089	0.269	TMEM17, CEP70, UBE2R2, NT5DC1, + 51 genes
ZNF608	ZNF608	70	-1.7	0.089	0.269	CEBPD, FAM83D, GABRA3, HSBP1L1, + 49 genes
RAG1	RAG1	57	-1.72	0.085	0.261	PPP1R12A, DCP1A, XK, ATP5A1, + 40 genes
ZNF33B	ZNF33B	72	-1.72	0.085	0.261	FBXO38, IRF3, SNX30, DCAF12, + 57 genes
ZNF621	ZNF621	77	-1.72	0.085	0.261	CCDC18, MRPS7, GATAD1, PLA2G6, + 62 genes
ZNF628	ZNF628	44	-1.75	0.08	0.25	ZNF416, ZSWIM6, USP15, KIAA1045, + 31 genes
DEPDC1	DEPDC1	143	-1.76	0.079	0.249	YTHDF2, CCT8, DLGAP5, KDM5A, + 105 genes
ZNF296	ZNF296	166	-1.76	0.079	0.249	EFNA4, MRPL43, GPRIN3, SUCLG2, + 126 genes
MBD3	MBD3	138	-1.76	0.078	0.248	GLYR1, SNCB, TSEN54, C19orf48, + 118 genes
SLC26A10	SLC26A10	130	-1.76	0.078	0.248	C8ORFK29, SEPT7P2, AMH, YJEFN3, + 106 genes
SOX13	SOX13	118	-1.77	0.077	0.247	IRF3, ZFP36, INTS7, LAT2, + 99 genes
ZNF358	ZNF358	190	-1.77	0.077	0.247	IMMT, PCDHAC1, ATL3, ZNF600, + 161 genes
PRB3	PRB3	36	-1.77	0.076	0.246	SERPINI1, DDX11, ATXN2L, MUC15, + 26 genes
ZNF511	ZNF511	158	-1.77	0.076	0.246	SERINC3, LPAR2, TOMM40, LOC93432, + 136 genes
ZNF738	ZNF738	58	-1.78	0.075	0.244	ZNF606, TAF5, CCDC69, ISLR, + 44 genes
MLL2	MLL2	97	-1.79	0.073	0.241	MAP3K7, SCN8A, UBE3B, ZFX, + 76 genes
MYT1L	MYT1L	94	-1.79	0.073	0.241	PTPRJ, P2RX7, CTSB, APOL4, + 81 genes
ZNF788	ZNF788	36	-1.79	0.073	0.241	CDK2, SFRS5, C6orf145, FMN2, + 27 genes
ZSCAN29	ZSCAN29	79	-1.8	0.072	0.24	ARIH1, RGPD6, TRPM7, KCNIP1, + 66 genes
NHLH1	NHLH1	52	-1.81	0.071	0.238	CRY2, DNAJB11, AQP11, ANKRD54, + 40 genes
SETDB1	SETDB1	42	-1.82	0.069	0.233	C13orf1, PWP2, CD1B, SGPP1, + 33 genes
ZBTB6	ZBTB6	37	-1.82	0.069	0.233	ZBTB26, GOLGA1, ACOT9, ZNF367, + 18 genes
DHX34	DHX34	133	-1.83	0.068	0.231	WDR90, EPAS1, DNAJC11, ATP6V1A, + 107 genes
ZNF781	ZNF781	25	-1.83	0.068	0.231	ZNF419, CNDP1, GCFC1, ANGPTL4, + 17 genes
ZNF221	ZNF221	139	-1.84	0.066	0.226	PSMD11, FASTKD2, C18orf25, HES1, + 110 genes
ZNF233	ZNF233	42	-1.84	0.066	0.226	ZNF350, GSTA4, TPRXL, CCDC123, + 31 genes
NFYB	NFYB	34	-1.85	0.065	0.225	MINK1, PLEKHM1, C12orf29, DNAJA2, + 21 genes
ZNF574	ZNF574	82	-1.85	0.065	0.225	ZNF564, MAP1S, AP3D1, MALAT1, + 68 genes
RAPGEF5	RAPGEF5	36	-1.86	0.063	0.22	C12orf5, RSBN1, GABARAPL1, SEC14L4, + 28 genes
ZNF91	ZNF91	52	-1.86	0.063	0.22	BEST4, ZNF709, DHRS1, MLL4, + 43 genes
FOXI2	FOXI2	32	-1.87	0.062	0.218	PLD5, PRLR, PLK2, SNX10, + 23 genes
PRR12	PRR12	92	-1.87	0.062	0.218	ZNF500, NCDN, COMT, FAM127A, + 77 genes
ZNF69	ZNF69	133	-1.87	0.062	0.218	GRHL2, COX6B1, SAMD11, CCDC74A, + 110 genes
ZNF92	ZNF92	132	-1.87	0.062	0.218	CCT6A, SEC63, DBF4, C7orf64, + 118 genes
ZSCAN5A	ZSCAN5A	95	-1.87	0.062	0.218	KCNH6, KIT, IHH, NACA, + 75 genes
AKAP8	AKAP8	104	-1.87	0.061	0.218	LPAR2, SIN3B, ZNF564, CD1B, + 85 genes
LIN28B	LIN28B	137	-1.87	0.061	0.218	SCN8A, COPB1, TMSB10, BTRC, + 110 genes
ZBTB2	ZBTB2	46	-1.88	0.06	0.215	SERPINB6, CTSB, CTSD, C5orf62, + 33 genes
ZSCAN12	ZSCAN12	58	-1.89	0.059	0.213	NAA11, ABCA1, PPFIA1, INO80C, + 45 genes
GTF2F1	GTF2F1	55	-1.9	0.058	0.21	ZNF784, ELAVL1, COPE, PRMT1, + 43 genes
YOD1	YOD1	71	-1.9	0.058	0.21	WDR26, TLK2, CHUK, ADSS, + 57 genes
RBAK	RBAK	30	-1.91	0.056	0.207	B4GALT3, C4orf21, SBF1, CARHSP1, + 21 genes
ZNF676	ZNF676	77	-1.91	0.056	0.207	ZNF431, ITSN1, LOC399959, NCRNA00092, + 61 genes
RAD51	RAD51	223	-1.92	0.055	0.205	INTS7, CKS1B, RNF175, XRCC6, + 183 genes
VPS72	VPS72	123	-1.92	0.055	0.205	CKS1B, MLF1IP, EIF6, GSTA4, + 107 genes
ZNF367	ZNF367	42	-1.92	0.055	0.205	LBR, PRPF4, RMI1, SPIN1, + 30 genes
HKR1	HKR1	126	-1.93	0.054	0.204	TNFSF8, HAUS5, ARHGAP30, HLA-H, + 108 genes
DNAJC2	DNAJC2	163	-1.94	0.052	0.198	PPP1R16B, IL17REL, SNRPF, RPL12, + 137 genes
PAWR	PAWR	36	-1.94	0.052	0.198	IRF8, RPAP2, SH3D19, MTF2, + 29 genes
ZNF365	ZNF365	38	-1.94	0.052	0.198	RHOU, HCG11, SLC38A10, NHLRC1, + 26 genes
ZNF451	ZNF451	69	-1.95	0.051	0.197	SLC29A3, ASB7, LTA4H, POGZ, + 47 genes
ZNF148	ZNF148	97	-1.96	0.05	0.193	C1orf55, MED11, ADD3, KPNA1, + 72 genes
ZNF326	ZNF326	63	-1.96	0.05	0.193	PRPF38B, ZNHIT6, SAMD13, C12orf5, + 50 genes
ZNF229	ZNF229	60	-1.98	0.048	0.187	DEAF1, PDGFRL, TPRXL, MAP3K7, + 47 genes
FOXJ2	FOXJ2	57	-1.99	0.047	0.185	KCNJ8, ZNF460, ROCK2, NOS1, + 39 genes
NOC4L	NOC4L	91	-1.99	0.047	0.185	SNRPD1, LOH12CR1, COX6A1, HAUS8, + 73 genes
PBX1	PBX1	131	-1.99	0.047	0.185	BAG5, FUT8, GSTO1, IL22RA1, + 107 genes
ZNF513	ZNF513	318	-1.99	0.047	0.185	FAM177A1, SETD6, PAIP2, DEFB124, + 240 genes
E2F4	E2F4	51	-2	0.046	0.184	TMEM208, NIP7, CTCF, SHROOM4, + 32 genes
ZNF638	ZNF638	130	-2	0.046	0.184	ETFA, C1orf156, SETD6, SIN3B, + 109 genes
ZNF423	ZNF423	178	-2	0.045	0.182	TUB, FBRS, LOC148189, SNTB2, + 135 genes
RFX2	RFX2	59	-2.01	0.044	0.178	SIN3B, CYP2S1, HIF3A, HMGN4, + 49 genes
CEBPZ	CEBPZ	31	-2.02	0.043	0.175	APOC1, FUT3, C2orf56, BLZF1, + 23 genes
CSDA	CSDA	90	-2.02	0.043	0.175	TMEM69, CCDC77, DDX11, LOC360030, + 73 genes
UBTF	UBTF	89	-2.02	0.043	0.175	CEBPD, EEF1A1P9, EIF3A, LAMC1, + 76 genes
TCF20	TCF20	122	-2.03	0.042	0.173	ZNF304, SNORD116-4, TREML1, MAP3K2, + 98 genes
ZNF429	ZNF429	59	-2.03	0.042	0.173	AMPH, TULP2, RGPD3, SCOC, + 50 genes
ZNF154	ZNF154	46	-2.04	0.041	0.17	ZNF418, SLC18A2, ZNF304, CEP135, + 38 genes
ZNF567	ZNF567	96	-2.05	0.04	0.167	ZNF587, UBTF, RSBN1, NUP133, + 79 genes
ZNF589	ZNF589	70	-2.05	0.04	0.167	RNF175, NAB2, PLEK2, RAB3B, + 60 genes
GZF1	GZF1	100	-2.06	0.039	0.163	PAPD5, TDRD1, HSBP1L1, PIAS3, + 86 genes
LARP4	LARP4	238	-2.06	0.039	0.163	SCN8A, SCAMP1, RNASEK, TMSB10, + 203 genes
RAPGEF4	RAPGEF4	70	-2.06	0.039	0.163	GALNT8, FBXO21, NDUFS8, CMTM4, + 49 genes
HOXD13	HOXD13	52	-2.07	0.038	0.161	ZNF26, IHH, PLCH1, ITFG2, + 42 genes
ZNF208	ZNF208	86	-2.07	0.038	0.161	C4orf21, RPAP2, PLEKHF2, ABCA6, + 71 genes
ZBTB34	ZBTB34	148	-2.09	0.037	0.159	MAP3K7, TULP3, BAG5, GTF3C4, + 126 genes
MYBL1	MYBL1	28	-2.11	0.035	0.151	CD209, TIA1, ALDH2, LBR, + 22 genes
ZNF544	ZNF544	38	-2.11	0.035	0.151	YTHDF2, ZNF606, ZNF419, ZNF502, + 31 genes
ZNF823	ZNF823	25	-2.11	0.035	0.151	GSTA4, L1TD1, ZNF564, ZNF480, + 20 genes
TFAP2C	TFAP2C	67	-2.12	0.034	0.149	FAM20B, NRF1, MAL2, VCAM1, + 49 genes
ZNF557	ZNF557	51	-2.13	0.033	0.145	ZNF564, C12orf66, BAG5, SNRNP48, + 40 genes
MYCN	MYCN	154	-2.14	0.032	0.142	NLGN1, CDCA8, UBTF, TAF1B, + 117 genes
BNC2	BNC2	90	-2.16	0.031	0.138	MAPKAPK3, KCNJ12, CXorf59, LRG1, + 75 genes
E2F7	E2F7	141	-2.16	0.031	0.138	NPB, CDK2, C12orf5, NUCB2, + 119 genes
DR1	DR1	226	-2.17	0.03	0.135	PROCA1, RPAP2, HRK, DLK2, + 175 genes
FOXQ1	FOXQ1	49	-2.17	0.03	0.135	EYA1, RDH16, XK, SFRS16, + 35 genes
DOT1L	DOT1L	93	-2.18	0.029	0.133	TTN, SLC4A8, CIC, PAPL, + 70 genes
DEPDC1B	DEPDC1B	118	-2.2	0.028	0.129	VBP1, C8orf41, LRRC37A2, C5orf54, + 96 genes
IRF6	IRF6	123	-2.2	0.028	0.129	RAB24, KIAA1244, RHOG, TTLL9, + 85 genes
MTA1	MTA1	145	-2.2	0.028	0.129	ADCK1, RDH16, HRAS, C14orf156, + 111 genes
TSC22D2	TSC22D2	66	-2.2	0.028	0.129	LCOR, ZNF304, THOC3, XRN1, + 57 genes
TWIST1	TWIST1	28	-2.2	0.028	0.129	TCTN1, HOXD13, ATG2A, FH, + 24 genes
ZFP42	ZFP42	79	-2.2	0.028	0.129	ALS2CL, C8orf41, NEIL3, TMUB2, + 64 genes
ZNF558	ZNF558	65	-2.21	0.027	0.128	WDR61, CDHR3, GPR172B, EYA1, + 53 genes
TFAP4	TFAP4	128	-2.23	0.026	0.124	PUS1, ST3GAL1, SBK1, BOLA2, + 101 genes
YY1	YY1	129	-2.23	0.026	0.124	BAG5, FUT8, DLGAP5, C12orf5, + 111 genes
ZNF768	ZNF768	49	-2.23	0.026	0.124	DDX5, DCTN4, SEPT7, CWC27, + 31 genes
YEATS4	YEATS4	277	-2.24	0.025	0.121	CDH4, CD3E, MESDC1, PSMB8, + 240 genes
ZNF596	ZNF596	60	-2.24	0.025	0.121	C22orf13, B3GALT1, H3F3C, SPACA1, + 40 genes
MYBL2	MYBL2	201	-2.26	0.024	0.117	POM121L9P, NONO, JRKL, FAM83D, + 177 genes
TLX1	TLX1	31	-2.27	0.023	0.113	GABBR2, SLC6A20, FBRSL1, LINGO1, + 16 genes
ZNF790	ZNF790	61	-2.27	0.023	0.113	BARX1, DLK2, C6orf154, LOC374443, + 51 genes
ADAMTS19	ADAMTS19	64	-2.29	0.022	0.11	CYP2J2, GABRA3, SLC35E3, PRICKLE2, + 48 genes
CBLL1	CBLL1	116	-2.29	0.022	0.11	HSD17B14, CD3EAP, CTSK, LTA4H, + 93 genes
ZNF440	ZNF440	26	-2.31	0.021	0.107	SYDE2, MAP3K13, TADA3, SCYL2, + 18 genes
MAZ	MAZ	105	-2.33	0.02	0.103	MBP, ATXN2L, TMEM186, TNNT1, + 86 genes
SREBF2	SREBF2	47	-2.33	0.02	0.103	FBXO41, SPINK1, FOXR1, CYB5R3, + 36 genes
WIZ	WIZ	61	-2.33	0.02	0.103	NRF1, CP, ZNF628, REEP6, + 48 genes
ZNF260	ZNF260	74	-2.33	0.02	0.103	ZFP30, ARID4B, LRG1, MBTD1, + 62 genes
ZNF717	ZNF717	63	-2.33	0.02	0.103	ZSCAN12P1, SLC6A5, MOCS2, CCNH, + 38 genes
DSP	DSP	179	-2.35	0.019	0.1	ZNF33A, C17orf48, SALL4, IDUA, + 158 genes
ZNF85	ZNF85	33	-2.35	0.019	0.1	HAUS8, NR1H2, SPACA1, PIK3CB, + 28 genes
ZNF662	ZNF662	51	-2.37	0.018	0.0966	XK, CEACAM19, MYBPC1, TDRD1, + 41 genes
HMG20B	HMG20B	236	-2.41	0.016	0.087	USF2, TM2D1, TXNRD2, C21orf2, + 214 genes
ZIK1	ZIK1	81	-2.41	0.016	0.087	C6orf145, CT47B1, SCAF1, HRK, + 70 genes
RXRG	RXRG	43	-2.43	0.015	0.0829	ZNF396, ETNK1, KIAA0528, SALL1, + 31 genes
SIX2	SIX2	25	-2.43	0.015	0.0829	LRP3, FAM165B, DACT2, EEF1A2, + 17 genes
ZNF506	ZNF506	36	-2.43	0.015	0.0829	TUBAL3, ZNF333, TMEM37, ZNF461, + 26 genes
ZNF827	ZNF827	46	-2.43	0.015	0.0829	FUT10, NOS1, MED14, LRP1, + 37 genes
ZNF12	ZNF12	197	-2.46	0.014	0.0798	CTSA, GALNT8, ZNF551, BRMS1, + 168 genes
ATXN7	ATXN7	65	-2.48	0.013	0.0751	DNAJC8, NDUFS4, HECTD2, GOLGB1, + 44 genes
DMC1	DMC1	46	-2.48	0.013	0.0751	TOMM22, ZNF175, DNAJC13, ATXN10, + 30 genes
MTA3	MTA3	128	-2.48	0.013	0.0751	ELF1, RUNX3, ARHGAP30, EPS15L1, + 111 genes
NANOG	NANOG	251	-2.48	0.013	0.0751	NONO, C12orf5, TUBA1B, DIAPH3, + 214 genes
ZNF543	ZNF543	155	-2.48	0.013	0.0751	LOC283856, BHLHB9, NLGN1, HFM1, + 136 genes
ZNF607	ZNF607	158	-2.48	0.013	0.0751	G0S2, MAP2K7, CTSB, XPNPEP2, + 135 genes
ZNF695	ZNF695	178	-2.48	0.013	0.0751	SYT12, TADA1, NEIL3, PCOLCE, + 151 genes
AEBP2	AEBP2	122	-2.51	0.012	0.0722	GALNT8, PLBD1, C14orf73, RALA, + 106 genes
CPSF4L	CPSF4L	37	-2.51	0.012	0.0722	NOTO, CCDC9, CHDH, RHPN1, + 30 genes
DZIP1	DZIP1	170	-2.51	0.012	0.0722	CCL28, RHOU, FGFR3, C6orf52, + 150 genes
TFDP1	TFDP1	86	-2.51	0.012	0.0722	SLMO2, PSORS1C2, DCAF12L2, PGGT1B, + 68 genes
ZBED1	ZBED1	102	-2.51	0.012	0.0722	MGRN1, PRKD2, ENO3, CLIP3, + 80 genes
EIF3K	EIF3K	251	-2.54	0.011	0.0684	GTF2F1, TUBB2C, NEDD8, TMEM205, + 204 genes
ZBTB7C	ZBTB7C	50	-2.54	0.011	0.0684	COL1A2, SPACA1, NUAK1, C1orf216, + 36 genes
ZFHX4	ZFHX4	40	-2.54	0.011	0.0684	SPINK1, TAB3, CCL28, MTDH, + 32 genes
ZNF257	ZNF257	97	-2.54	0.011	0.0684	NUDT18, SFRS3, LOC728643, SFRS1, + 81 genes
ZNF117	ZNF117	78	-2.58	0.01	0.0637	LOC342346, ZNF615, MARCKS, ANKIB1, + 56 genes
ZNF408	ZNF408	104	-2.58	0.01	0.0637	ZMYM6, ZNF628, NSDHL, RPL13AP6, + 87 genes
ARGFX	ARGFX	44	-2.61	0.009	0.0579	SULT4A1, FAM181B, ODF2, VSTM2A, + 36 genes
PRRX2	PRRX2	103	-2.61	0.009	0.0579	RPS24, AIDA, MUC15, PCDHA13, + 85 genes
RGS7	RGS7	109	-2.61	0.009	0.0579	B3GALT1, SLC25A34, SLC35F1, MFF, + 84 genes
RNF125	RNF125	135	-2.61	0.009	0.0579	KRT17, CEP192, DKFZp686A1627, LRRC27, + 114 genes
USP39	USP39	206	-2.61	0.009	0.0579	SPC24, TPR, CD99L2, NOLC1, + 174 genes
ZNF395	ZNF395	187	-2.61	0.009	0.0579	PRLR, C14orf72, ZNF521, YEATS4, + 155 genes
GRHL2	GRHL2	127	-2.65	0.008	0.0538	MAL2, KLK14, NTF3, OTUB2, + 99 genes
NOTO	NOTO	49	-2.65	0.008	0.0538	YEATS4, CXorf59, AKAP8, CCDC9, + 37 genes
PHB2	PHB2	376	-2.65	0.008	0.0538	TG, ANKRD12, CHD4, RPL7, + 298 genes
ZNF530	ZNF530	75	-2.65	0.008	0.0538	LARP4, ZDHHC19, BLZF1, RNF41, + 66 genes
ZNF579	ZNF579	224	-2.65	0.008	0.0538	SENP8, NCAM2, LOC100124692, PCNP, + 200 genes
ESR2	ESR2	69	-2.7	0.007	0.0486	HHIPL2, PET112L, DNAJC5G, MEIS2, + 53 genes
MLLT1	MLLT1	126	-2.7	0.007	0.0486	RANBP3, GNPTAB, ANKLE1, RNF113B, + 101 genes
OVOL2	OVOL2	63	-2.7	0.007	0.0486	RAB25, COCH, CARM1, RP1L1, + 53 genes
SALL1	SALL1	63	-2.7	0.007	0.0486	KIAA0528, NLRP11, SERPINH1, UBA3, + 50 genes
SRY	SRY	35	-2.7	0.007	0.0486	MST1P9, MT1L, UBL5, C5orf38, + 23 genes
ZBTB45	ZBTB45	93	-2.7	0.007	0.0486	CCDC9, FEN1, PRMT1, ZBTB25, + 82 genes
ZNF284	ZNF284	97	-2.7	0.007	0.0486	HIST4H4, CHD4, SACM1L, SCYL2, + 82 genes
ZNF317	ZNF317	37	-2.7	0.007	0.0486	TMEM80, C19orf44, ZNF788, TBK1, + 29 genes
ZNF90	ZNF90	111	-2.7	0.007	0.0486	BRP44, ZNF826, TMEM186, INSC, + 92 genes
POU3F2	POU3F2	62	-2.75	0.006	0.0443	ISM1, PAPOLA, MPDZ, EXOC5, + 47 genes
ZNF552	ZNF552	88	-2.75	0.006	0.0443	EGFR, KLHDC2, FLJ11235, ZNF628, + 74 genes
ZNF680	ZNF680	96	-2.81	0.00499	0.0383	TMX1, FAM160B1, COQ9, SOCS5, + 76 genes
RBM10	RBM10	33	-2.82	0.00477	0.0371	EIF3CL, PRSS50, C2orf34, PQBP1, + 26 genes
ZNF598	ZNF598	139	-2.83	0.00469	0.0367	ATXN2L, RRS1, TCTN3, TMEM186, + 115 genes
POU5F1	POU5F1	134	-2.83	0.00469	0.0367	DAP3, DGCR5, DDX60L, PHLDA3, + 106 genes
PRDM13	PRDM13	67	-2.83	0.00468	0.0367	HSBP1L1, EPHA6, ADAMTS19, NCRNA00202, + 52 genes
SNAPC4	SNAPC4	126	-2.83	0.00459	0.0366	CMBL, RAB13, ZNF628, PRPF4, + 98 genes
FOXH1	FOXH1	89	-2.85	0.00443	0.0357	PITX3, ATP1A4, MRPL20, ZNF263, + 77 genes
ZNF618	ZNF618	48	-2.85	0.00438	0.0357	ZNF484, ZFP37, SCAI, GAPVD1, + 43 genes
PRDM14	PRDM14	399	-2.86	0.00424	0.035	MARVELD1, DYNLL2, NSDHL, CBFB, + 339 genes
SRF	SRF	72	-2.87	0.00415	0.0348	SETBP1, SEPT2, GABARAPL3, FGF18, + 59 genes
ZNF519	ZNF519	31	-2.87	0.00408	0.0346	ATPBD4, YTHDC1, CLDN12, GRN, + 24 genes
IKZF4	IKZF4	43	-2.87	0.00405	0.0346	TUG1, FLVCR1, MAP2K7, PRIMA1, + 34 genes
LARP6	LARP6	148	-2.88	0.00402	0.0346	SMOX, USP15, CSNK1A1P, TXNIP, + 136 genes
E2F5	E2F5	151	-2.91	0.00364	0.0324	SLC25A5, UVRAG, NSDHL, CAPN3, + 116 genes
PATZ1	PATZ1	31	-2.95	0.00319	0.0292	RNF215, DGCR5, CBLC, GK, + 25 genes
KLF4	KLF4	214	-2.95	0.00317	0.0292	SRGAP1, NINL, HMGCS1, CAMSAP1, + 178 genes
DMRT2	DMRT2	26	-2.97	0.00294	0.0275	KBTBD11, COCH, SLC38A9, TMEM30B, + 17 genes
ZNF320	ZNF320	153	-2.98	0.00291	0.0274	ZNF532, ADAMTS7, MAP2K7, SLC25A36, + 124 genes
SOHLH1	SOHLH1	29	-2.99	0.00282	0.0267	CHGA, LOC399815, APBA2, PTPN20B, + 14 genes
HAND1	HAND1	32	-3.01	0.00265	0.0257	MAL2, EBF2, DLX3, COCH, + 23 genes
IRX6	IRX6	97	-3.01	0.00262	0.0256	DRD1, YEATS4, CDH12, AP3S2, + 82 genes
ZNF180	ZNF180	120	-3.02	0.00253	0.0251	NCRNA00202, RALGAPA1, ZNF542, ZNF333, + 104 genes
ZNF714	ZNF714	187	-3.02	0.0025	0.025	CNTNAP5, RAB24, FHIT, ZNF98, + 170 genes
TCEAL8	TCEAL8	143	-3.05	0.00231	0.0234	DOCK3, MTX1, ICT1, GOT1, + 124 genes
ZNF223	ZNF223	130	-3.06	0.00225	0.0232	NCRNA00202, LOC400752, SCYL3, PDIA2, + 105 genes
BATF3	BATF3	28	-3.06	0.00223	0.0232	TNNC2, MST1P9, SCN10A, SH3GL3, + 20 genes
RPA4	RPA4	43	-3.07	0.00216	0.0226	C1S, CFH, EFEMP2, TNFSF10, + 34 genes
ZNF491	ZNF491	65	-3.09	0.00202	0.0213	RHOBTB2, COCH, ZNF440, LRRTM1, + 53 genes
ZNF653	ZNF653	152	-3.13	0.00175	0.0193	NCRNA00202, PHF21B, LOC400752, SF3A2, + 131 genes
UBP1	UBP1	101	-3.15	0.00164	0.0182	RARRES2, DPH3, FAM116A, HIST4H4, + 85 genes
VENTX	VENTX	62	-3.15	0.00162	0.0182	YARS, HIST3H2A, JAGN1, ZNF511, + 49 genes
